filename,project_id,counterparty,exec_date,doc_type,parent_dir,year_bucket,src_path,size_bytes,normalized_filename
Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA Amendment No. 1.pdf,6323,6323,,AMENDMENT,6323,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6323/Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA Amendment No. 1.pdf,365578,6323_6323_AMENDMENT_v1.pdf
Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA.pdf,6323,6323,,PPA,6323,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6323/Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA.pdf,979945,6323_6323_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- LGIA.pdf,6323,6323,,OTHER,6323,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6323/Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- LGIA.pdf,717982,6323_6323_OTHER.pdf
Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA Signature Page.pdf,6323,6323,,PPA,6323,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6323/Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA Signature Page.pdf,23106,6323_6323_PPA_v1.pdf
"2014-06-23, PVN Milliken - Landfill Solar, PPA.pdf",2014,PVN Milliken - Landfill Solar,,PPA,PVN Milliken - Landfill Solar,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/PVN Milliken - Landfill Solar/2014-06-23, PVN Milliken - Landfill Solar, PPA.pdf",3209814,2014_PVN_Milliken_-_Landfill_Solar_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- PPA Amendment No. 2.pdf,6324,6324,,AMENDMENT,6324,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6324/Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- PPA Amendment No. 2.pdf,227263,6324_6324_AMENDMENT.pdf
Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- LGIA.pdf,6324,6324,,OTHER,6324,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6324/Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- LGIA.pdf,717982,6324_6324_OTHER.pdf
Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- PPA Amendment No. 1.pdf,6324,6324,,AMENDMENT,6324,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6324/Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- PPA Amendment No. 1.pdf,341308,6324_6324_AMENDMENT_v1.pdf
Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- PPA.pdf,6324,6324,,PPA,6324,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6324/Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- PPA.pdf,921296,6324_6324_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_4225_PPA_Desert Water Agency_Whitewater Project.pdf,4225,4225,,OTHER,4225,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/4225/Confidential - market sensitive pursuant to D.06-06-066_4225_PPA_Desert Water Agency_Whitewater Project.pdf,7118031,4225_4225_OTHER.pdf
Confidential - market sensitive pursuant to D.06-06-066_4213_TKOPowerLLC_Amendment1_Executed_20160308.pdf,4213,4213,,OTHER,4213,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/4213/Confidential - market sensitive pursuant to D.06-06-066_4213_TKOPowerLLC_Amendment1_Executed_20160308.pdf,1760518,4213_4213_OTHER.pdf
Confidential - market sensitive pursuant to D.06-06-066_4213 EGPNA TKO South Bear Creek - PPA EXECUTED 7-15-2015.pdf,4213,4213,2015-07-15,PPA,4213,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/4213/Confidential - market sensitive pursuant to D.06-06-066_4213 EGPNA TKO South Bear Creek - PPA EXECUTED 7-15-2015.pdf,7022243,4213_4213_2015-07-15_PPA.pdf
"Confidential - market sensitive pursuant to D.06-06-066_2016-09-22, 5149 Lancaster Energy LLC, Interconnection Agreement.pdf",2016,5149 Lancaster Energy LLC,,AGREEMENT,5149 Lancaster Energy LLC,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/5149 Lancaster Energy LLC/Confidential - market sensitive pursuant to D.06-06-066_2016-09-22, 5149 Lancaster Energy LLC, Interconnection Agreement.pdf",6099230,2016_5149_Lancaster_Energy_LLC_AGREEMENT.pdf
"Confidential - market sensitive pursuant to D.06-06-066_2019-02-14, 5149 Lancaster Energy LLC, PPA.pdf",2019,5149 Lancaster Energy LLC,,PPA,5149 Lancaster Energy LLC,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/5149 Lancaster Energy LLC/Confidential - market sensitive pursuant to D.06-06-066_2019-02-14, 5149 Lancaster Energy LLC, PPA.pdf",7110615,2019_5149_Lancaster_Energy_LLC_PPA.pdf
"Confidential - market sensitive pursuant to D.06-06-066_2019-09-18, Phelan Park I, LLC, PPA.pdf",2019,Phelan Park I_ LLC,,PPA,Phelan Park I_ LLC,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Phelan Park I_ LLC/Confidential - market sensitive pursuant to D.06-06-066_2019-09-18, Phelan Park I, LLC, PPA.pdf",3756815,2019_Phelan_Park_I_LLC_PPA.pdf
